"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"Aleksandr Borisovich TOTOONOV","Individual","Member of the Parliament of North Ossetia-Alania and owner of the company “Southern Garden”.","Ukraine (general)","EU","2014-03-17","1957-04-03","","EU.3509.92","UKR — 2023/571 (OJ L75 I)"
"Aleksandr Viktorovich VITKO","Individual","Former Commander of the Black Sea Fleet, Admiral. Former Chief of Staff and First Deputy Commander in Chief of the Russian Navy.","Ukraine (general)","EU","2014-03-17","1961-09-13","","EU.3514.74","UKR — 2022/408 (OJ L84)"
"Alexander Mihailovich NOSATOV","Individual","Former Commander of the Black Sea Fleet, Rear-Admiral. Currently Admiral, Chief of the Main Staff of the Russian Navy.","Ukraine (general)","EU","2014-03-21","1963-03-27","","EU.3648.96","UKR — 2022/408 (OJ L84)"
"Alexey Mikhaylovich EFREMOV","Individual","","Ukraine (general)","EU","2025-05-20","","","EU.13040.68","UKR — 2025/933 (OJ L202500933)"
"Anatoliy Alekseevich SIDOROV","Individual","Commander, Russia's Western Military District.","Ukraine (general)","EU","2014-03-17","1958-07-02","","EU.2797.3","UKR — 2020/398 (OJ L78)"
"Andrei Aleksandrovich KLISHAS","Individual","Chairman of the Committee on Constitutional Law of the Federation Council of the Russian Federation.","Ukraine (general)","EU","2014-03-17","1972-11-09","","EU.3098.20","UKR — 2023/571 (OJ L75 I)"
"Aqua Fleet Management LLC","Entity","Aqua Fleet Management LLC is a company registered in Azerbaijan, which manages a fleet of three vessels. The vessels in the company’s fleet are EDERRA (IMO: 9258026), SAURI (IMO: 9266475) and TEMIRO (IMO: 9209972), all of which are listed under Annex XVI to Decision 2014/512/CFSP. Aqua Fleet Management LLC is the ship manager and technical manager for all three vessels.","Ukraine (general)","EU","2025-07-19","","","EU.13360.33","UKR — 2025/1476 (OJ L202501476)"
"Artiom Jurjevitj TJAJKA","Individual","","Ukraine (general)","EU","2023-06-23","1977-09-25","","EU.10265.55","UKR — 2023/1216 (OJ L159 I)"
"Atlas Mining LLC","Entity","Petropavlovsk PLC is a Russian gold mining company operating in the Russian gold sector, which provides substantial revenue to the Government of the Russian Federation.","Ukraine (general)","EU","2025-05-20","","","EU.13016.58","UKR — 2025/933 (OJ L202500933)"
"Aкционерное общество ‘Завод шампанских вин “Новый Свет”’","Entity","","Ukraine (general)","EU","2014-07-25","","","EU.4051.68","UKR — 2023/571 (OJ L75 I)"
"BX Energy Ltd","Entity","Bellatrix Energy Limited is a Hong Kong-based company that is part of a network of companies that enables shipments and export of Russian oil.","Ukraine (general)","EU","2025-07-18","","","EU.13409.25","UKR — 2025/1476 (OJ L202501476)"
"CJSC Donobuv","Entity","CJSC Donobuv is a producer of footwear for the Russian Ministry of Defence and is among the organisations included in the consolidated register of organisations of Russia’s defence-industrial complex.","Ukraine (general)","EU","2025-02-24","","","EU.12718.34","UKR — 2025/389 (OJ L24022025)"
"Coral Energy DMCC","Entity","2Rivers DMCC is a Dubai-based oil-trading company.","Ukraine (general)","EU","2025-07-18","","","EU.13392.35","UKR — 2025/1476 (OJ L202501476)"
"Coral Energy PTE Ltd","Entity","2Rivers PTE Ltd is a Singapore-based oil-trading company.","Ukraine (general)","EU","2025-07-18","","","EU.13393.34","UKR — 2025/1476 (OJ L202501476)"
"Denis GARIJEV","Individual","head of the 'Russian Imperial Legion', a paramilitary wing of the Russian Imperial Movement (RIM)","Ukraine (general)","EU","2022-12-16","","","EU.9416.74","UKR — 2022/2476 (OJ L322-I)"
"Dmitri Aleksandrovič PUMPJANSKI","Individual","","Ukraine (general)","EU","2022-03-09","1964-03-22","","EU.7617.18","UKR — 2025/527 (OJ L202500527)"
"Dmitrii Konstantinovich KISELEV","Individual","","Ukraine (general)","EU","2014-03-21","1954-04-26","","EU.268.96","UKR — 2020/398 (OJ L78)"
"Dmitrij Vladimirovitj KONOV","Individual","","Ukraine (general)","EU","2022-03-09","1970-09-02","","EU.7692.66","UKR — 2024/2455 (OJ L13092024)"
"Dmitry Nikolayevich KOZAK","Individual","Former Deputy Prime Minister. Deputy Chief of Staff of the Presidential Administration of the Russian Federation. He is the President’s Special Envoy for conflict-management  in Ukraine.","Ukraine (general)","EU","2014-04-29","1958-11-07","","EU.3527.67","UKR — 2021/446 (OJ L87)"
"EKN Trading","Entity","Monolink Group FZCO is a Dubai-based entity that provides global logistics services. It supplies imported goods to Russian industry sectors, including the energy and extractives sectors. In addition, Monolink Group FZCO participates in Russia’s coal export schemes.","Ukraine (general)","EU","2025-07-19","","","EU.13367.26","UKR — 2025/1476 (OJ L202501476)"
"Elena Borisovna MIZULINA","Individual","Former Member of the Federation Council from Omsk region.","Ukraine (general)","EU","2014-03-21","1954-12-09","","EU.2822.39","UKR — 2024/849 (OJ L13032024)"
"Enutek Makina Sanayi Ve Ticaret","Entity","Enutek Makina Sanayi Ve Ticaret is a Turkish company involved in a circumvention scheme centred around the Russian holding company Promtech JSC.","Ukraine (general)","EU","2025-02-24","","","EU.12723.8","UKR — 2025/389 (OJ L24022025)"
"FSE Kamensky Zavod","Entity","FSE “Kamensky ‘Combine’” is a chemical plant, mainly producing special-purpose chemical products for Russia’s military industry, which produces weapons used by the Russian military.","Ukraine (general)","EU","2024-12-16","","","EU.12606.58","UKR — 2024/3183 (OJ L16122024)"
"Federal State Budgetary Enterprise ‘Production-Agrarian Union “Massandra”’ of the Administration of the President of the Russian Federation","Entity","","Ukraine (general)","EU","2014-07-25","","","EU.4050.6","UKR — 2021/1464 (OJ L321)"
"Fond územného rozvoja","Entity","The Territorial Development Fund is a public law company operating under the Ministry of Construction of the Russian Federation and founded by the Government of the Russian Federation.","Ukraine (general)","EU","2025-07-18","","","EU.13406.28","UKR — 2025/1476 (OJ L202501476)"
"Fábrica Central de Equipamento Ferroviário 41","Entity","","Ukraine (general)","EU","2025-05-20","","","EU.13042.66","UKR — 2025/933 (OJ L202500933)"
"GSTiR","Entity","Wuhan Global Sensor Technology Co. Ltd is a Chinese technology and electronics company. It delivers electronic military goods, such as infrared detectors and other optical components, to the Russian military and industrial complex, supporting the production of military goods for the Russian Armed Forces.","Ukraine (general)","EU","2025-07-19","","","EU.13357.57","UKR — 2025/1476 (OJ L202501476)"
"Gabinete de fabrico de sistemas integrados","Entity","Part of the Lobaev group which manufactures high-precision rifles","Ukraine (general)","EU","2025-05-20","","","EU.13273.87","UKR — 2025/933 (OJ L202500933)"
"Intershipping  Services Hub Private Kft","Entity","Intershipping Services Hub Private Limited is an entity based in India, as the local branch of the UAE-based entity Intershipping Service LLC. Intershipping Service LLC is operating the Gabon international flag registry.","Ukraine (general)","EU","2025-07-18","","","EU.13405.29","UKR — 2025/1476 (OJ L202501476)"
"JSC Astais","Entity","JSC Asteis is a developer and producer of special purpose vehicles. The company is one of the largest manufacturers of chassis-mounted special equipment for civil and military purposes in Russia. JSC Asteis manufactures and supplies vehicles (including Patrol-IV armoured vehicle (Asteis 70202)) used by the Russian military in Russia’s war of aggression against Ukraine.","Ukraine (general)","EU","2025-02-24","","","EU.12732.75","UKR — 2025/389 (OJ L24022025)"
"JSC BTK Group","Entity","JSC BTK Group is a Russian company specialising in uniforms and special clothing for military purposes.","Ukraine (general)","EU","2025-02-24","","","EU.12715.37","UKR — 2025/389 (OJ L24022025)"
"JSC MAK Vympel","Entity","a Russian military-industrial state enterprise that develops anti-ballistic missile systems and space control systems","Ukraine (general)","EU","2024-02-23","","","EU.11398.53","UKR — 2024/753 (OJ L23022024)"
"JSC NPO “POISK”","Entity","JSC Scientific and Production Association “POISK” is a leading Russian manufacturer of weapons and ammunition as well as a leading entity for the development of mechanical, electromechanical and electronic multifunctional fuses for ammunition. It has well-established cooperation with some of the major Russian defence companies, such as Tekhmash, Air Defence Concern Almaz-Antey and Tactical Missile Weapons Corporation.","Ukraine (general)","EU","2025-07-19","","","EU.13359.55","UKR — 2025/1476 (OJ L202501476)"
"JSC National Media Group","Entity","Media holding, controlling 28 media enterprises in Russia, including Channel One, Channel 5, REN TV and STS, 78.ru, the national newspaper Izvestia and Delovoy Peterburg","Ukraine (general)","EU","2022-12-16","","","EU.9387.41","UKR — 2024/2455 (OJ L13092024)"
"JSC Novo-Viatka","Entity","JSC Novo-Vyatka is a manufacturer of weapons and ammunition and therefore part of the Russian military-industrial complex.","Ukraine (general)","EU","2025-02-24","","","EU.12727.4","UKR — 2025/389 (OJ L24022025)"
"JSC Research Institute of Space Instrumentation","Entity","A Russian research and manufacturing company","Ukraine (general)","EU","2025-05-20","","","EU.13049.59","UKR — 2025/933 (OJ L202500933)"
"JSC Tulamashzavod","Entity","JSC Tula Machine Building Plant is a Russian defence manufacturer with a specialisation in the production of advanced military equipment, particularly in the domain of anti-aircraft weaponry and artillery systems.","Ukraine (general)","EU","2024-12-16","","","EU.12603.61","UKR — 2024/3183 (OJ L16122024)"
"JSC VNIIR-Progress","Entity","JSC VNIIR -Progress is a Russian research and development institute that specialises in the production of advanced electronic warfare (EW) systems, focusing on technologies for signal-jamming and intelligence-gathering.","Ukraine (general)","EU","2024-12-16","","","EU.12602.62","UKR — 2024/3183 (OJ L16122024)"
"JSC Volga Shipping","Entity","JSC Volga Shipping manages vessels transporting crude oil and oil products by sea, including for export purposes.","Ukraine (general)","EU","2025-05-20","","","EU.13015.59","UKR — 2025/933 (OJ L202500933)"
"JSC “Elektrotyaga”","Entity","","Ukraine (general)","EU","2025-05-20","","","EU.13052.35","UKR — 2025/933 (OJ L202500933)"
"JSC “Integral”","Entity","JSC Integral is a Belarusian manufacturer of semiconductors, integrated circuits and other high technology goods.","Ukraine (general)","EU","2025-02-24","","","EU.12740.46","UKR — 2025/389 (OJ L24022025)"
"JSC “N.D. Zelinsky EHMZ”","Entity","OJSC “EHMZ named after N. D. Zelinsky” is a Russian manufacturer of filter-type personal and collective protective equipment, including for the Ministry of Defence of the Russian Federation and other Russian government institutions.","Ukraine (general)","EU","2025-05-20","","","EU.13051.36","UKR — 2025/933 (OJ L202500933)"
"JSC “Research Institute of Measuring Instruments – Novosibirsk Plant Named After Komintern”","Entity","JSC “Research Institute of Measuring Instruments – Novosibirsk Plant Named After Komintern” is a Russian entity responsible for the production of radar, radio navigation equipment and radio remote control equipment.","Ukraine (general)","EU","2025-07-19","","","EU.13323.57","UKR — 2025/1476 (OJ L202501476)"
"JSC “Research Institute of Semiconductor Devices”","Entity","JSC “Research Institute of Semiconductor Devices” is a military industrial company. It develops technologies and produces electronic components, primarily for the military industry. For instance, the company creates miniature LEDs that can be used as part of special purpose equipment, including to enable operations in extreme conditions.","Ukraine (general)","EU","","","","EU.13324.56","UKR — 2025/1476 (OJ L202501476)"
"JSC “Spetskhimiya”","Entity","","Ukraine (general)","EU","2024-06-24","","","EU.11794.93","UKR — 2024/1746 (OJ L24062024)"
"Joint-Stock Company “103 Armored repair plant”","Entity","The largest armoured vehicle repair and modernisation enterprise in the Russian Far East","Ukraine (general)","EU","2024-04-26","","","EU.12254.63","UKR — 2024/1746 (OJ L24062024)"
"Kerch Commercial Port","Entity","","Ukraine (general)","EU","2017-09-16","","","EU.4171.35","UKR — 2024/2455 (OJ L13092024)"
"Kirill Aleksejevitj KLEJMENOV","Individual","","Ukraine (general)","EU","2023-02-25","1972-09-20","","EU.9869.49","UKR — 2023/429 (OJ L59 I)"
"Konstantin Nurijev","Individual","General Director of R-Stroy LLC","Ukraine (general)","EU","2024-06-24","1987-09-27","","EU.13272.88","UKR — 2024/1746 (OJ L24062024)"
"LLC Invest Fleet","Entity","LLC Invest Flot (Invest Fleet) is a company managed by SKF Arktika, a company belonging to the Sovcomflot group. LLC Invest Flot carries out transportation of crude oil and oil products by sea, including for export purposes, by managing numerous tankers involved in such export","Ukraine (general)","EU","2025-02-24","","","EU.12729.2","UKR — 2025/389 (OJ L24022025)"
"LLC RBA Management","Entity","","Ukraine (general)","EU","","","","EU.11825.27","UKR — 2024/1746 (OJ L24062024)"
"LLC Research and Production Association Izhevsk Unmanned Systems","Entity","LLC SPA Izhevsk Unmanned Systems is a Russian company which develops, produces, repairs and maintains unmanned aerial vehicles (UAV), special equipment and scientific and technical products.","Ukraine (general)","EU","2024-12-16","","","EU.12608.56","UKR — 2024/3183 (OJ L16122024)"
"LLC TSK Vektor","Entity","OOO TSK Vektor is a company within the Russian military-industrial complex. It has acted as an intermediary between IEMZ Kupol, a subsidiary of Russian state-owned arms company Almaz-Antey, and Chinese suppliers manufacturing components for long-range attack drones of the type Garpiya-3 (G3), which are developed and produced for use in Russia’s war of aggression against Ukraine.","Ukraine (general)","EU","2024-12-16","","","EU.12570.32","UKR — 2024/3183 (OJ L16122024)"
"LLC “INROEL”","Entity","LLC “Inroel” provides metal processing services to companies in the Russian defence sector, including several companies who have been subject to Union restrictive measures for manufacturing weapons systems used by the Russian armed forces in Russia’s war of aggression against Ukraine.","Ukraine (general)","EU","2025-07-19","","","EU.13353.61","UKR — 2025/1476 (OJ L202501476)"
"LLC “T.R.O.S”","Entity","LLC “Open Systems Development Technology” is a Russia-based entity that supplies metalworking equipment. Since the imposition of Union restrictive measures prohibiting the export of lathes to Russia, LLC “Open Systems Development Technology” is actively involved in circumventing such restrictive measures by acting as the Russia-based recipient of illegally exported lathes.","Ukraine (general)","EU","2025-07-19","","","EU.13352.62","UKR — 2025/1476 (OJ L202501476)"
"Lobaev Foundation","Entity","Fund for the Development of Weapons Technologies and Production “Lobaev Foundation” (Lobaev Foundation) is a unit of the Lobaev Group of entities and collects funds to finance the projects of LLC Trading House Lobaev Arms.","Ukraine (general)","EU","2025-02-24","","","EU.12725.6","UKR — 2025/389 (OJ L24022025)"
"Main Computing Center of the General Staff (GVC)","Entity","","Ukraine (general)","EU","2022-12-16","","","EU.9398.9","UKR — 2022/2476 (OJ L322-I)"
"Milavous Group-yhtiö","Entity","Milavous Group Ltd is a Dubai-based shipping and commodity trading company.","Ukraine (general)","EU","2025-07-18","","","EU.13395.32","UKR — 2025/1476 (OJ L202501476)"
"Mohammad Hossein SHAMKHANI","Individual","Hossein Shamkhani is a businessperson active in the Russian oil trade and a central player in Russia’s so-called ‘shadow fleet’. He uses the company Milavous Group Ltd to blend crude oil with various petroleum products from Russia and to rebrand for exporting purposes, thereby concealing their origin.","Ukraine (general)","EU","","","","EU.13337.22","UKR — 2025/1476 (OJ L202501476)"
"Moszkvai »Előre« Gépgyár Rt.","Entity","","Ukraine (general)","EU","2024-06-24","","","EU.11786.25","UKR — 2024/1746 (OJ L24062024)"
"NPO Stekloplastik","Entity","JSC “NPO Stekloplastik named after N.N. Trofimov” is the largest scientific and production centre in Russia dedicated to creating glass fibre materials and their composites.","Ukraine (general)","EU","2025-07-19","","","EU.13330.29","UKR — 2025/1476 (OJ L202501476)"
"NPP Aerosila PAO","Entity","JSC SPE “Aerosila” is a Russian developer and manufacturer of various aircraft parts, such as engines, propellers and fans. JSC SPE “Aerosila” provides its products to domestic aviation manufacturers.","Ukraine (general)","EU","2024-12-16","","","EU.12619.24","UKR — 2024/3183 (OJ L16122024)"
"Nayara Energy Limited","Entity","Nayara Energy Limited is an entity established in India and operating an important refinery in Vadinar.","Ukraine (general)","EU","2025-07-18","","","EU.13407.27","UKR — 2025/1476 (OJ L202501476)"
"Nikolay Dmitrievich Rogalyov","Individual","","Ukraine (general)","EU","","1962-02-17","","EU.13048.60","UKR — 2025/933 (OJ L202500933)"
"OFICINA DE DISEÑO  DE INVESTIGACIÓN  “NOVATOR”","Entity","","Ukraine (general)","EU","2022-12-16","","","EU.9376.73","UKR — 2024/2455 (OJ L13092024)"
"OOO “ZSO”","Entity","LLC “Plant of Special Equipment” is a military-industrial company that provides products and services (such as repair of radio-electronic products) for companies, including Roscosmos and Rostec, involved in the production of missile systems, air defence and space defence systems, artillery weapons and armoured vehicles.","Ukraine (general)","EU","2025-07-19","","","EU.13365.28","UKR — 2025/1476 (OJ L202501476)"
"Oleg Vladimirovič DERIPASKA","Individual","","Ukraine (general)","EU","2022-04-08","1968-01-02","","EU.7890.86","UKR — 2024/2455 (OJ L13092024)"
"PJSC “Yakutsk Fuel and Energy Company”","Entity","PJSC “Yakutsk Fuel and Energy Company” is a Russian company active in the field of energy production and exploration with a particular focus on natural gas (LNG).","Ukraine (general)","EU","2025-07-19","","","EU.13354.60","UKR — 2025/1476 (OJ L202501476)"
"Public Joint Stock Company “PIK-specialized homebuilder”","Entity","PIK-specialised developer JSC is a Russian conglomerate operating in the real estate and construction sector. Through subsidiaries such as “Inzhteploprogress”, PIK specialised developer JSC has financed the recruitment of personnel for Russian military units and private military companies operating in Ukraine under the command of the Russian Ministry of Defence.","Ukraine (general)","EU","2024-12-16","","","EU.12601.63","UKR — 2024/3183 (OJ L16122024)"
"RIL","Entity","paramilitary wing of the Russian Imperial Movement (RIM), a white-supremacist group","Ukraine (general)","EU","2022-12-16","","","EU.9422.47","UKR — 2022/2476 (OJ L322-I)"
"RIM","Entity","white-supremacist Russian group","Ukraine (general)","EU","2022-12-16","","","EU.9423.46","UKR — 2022/2476 (OJ L322-I)"
"RPE Iskra Plant","Entity","","Ukraine (general)","EU","2024-02-23","","","EU.11378.18","UKR — 2024/753 (OJ L23022024)"
"Redbird Corporate Services Ltd","Entity","Redbird Corporate Services Ltd is a company registered in Mauritius, which offers corporate and trust services in Mauritius. It is the registered agent of Sapang Shipping Inc, a company registered in Mauritius, which is the registered owner and ship manager of crude oil tanker ARGENT (formerly JAGUAR, IMO: 9293002). The role of the registered agent is to ensure compliance with local regulations and handle the administrative functions of the company.","Ukraine (general)","EU","2025-07-19","","","EU.13363.30","UKR — 2025/1476 (OJ L202501476)"
"Resort “Nizhnyaya Oreanda”","Entity","","Ukraine (general)","EU","2014-07-25","","","EU.3485.81","UKR — 2021/446 (OJ L87)"
"Rifat Abdulvagapovitj SABITOV","Individual","","Ukraine (general)","EU","2023-06-23","1956-04-30","","EU.10303.58","UKR — 2023/1216 (OJ L159 I)"
"Roman Arkadyevich ABRAMOVICH","Individual","Businessperson. Former governor of Chukotka. Major shareholder of Evraz also a shareholder of the Russian company Norilsk Nickel,\none oí the world’s largest palladium producers and a major refined nickel company in the mining sector","Ukraine (general)","EU","2022-03-15","1966-10-24","","EU.7792.75","UKR — 2025/527 (OJ L202500527)"
"SCF Arktika","Entity","LLC SKF Arktika is a holding company belonging to the Sovcomflot group. It is also the managing company of LLC Yuzhny Flot (South Fleet) and LLC Invest Flot (Invest Fleet), both of which operate oil tankers with prior long-standing ties to Sovcomflot.","Ukraine (general)","EU","2025-02-24","","","EU.12730.77","UKR — 2025/389 (OJ L24022025)"
"Sapang Shipping Inc","Entity","Sapang Shipping Inc is a company registered in Mauritius and is the registered owner and ship manager of crude oil tanker ARGENT (formerly JAGUAR, IMO: 9293002). ARGENT is not registered with the International Group of Protection and Indemnity Clubs and therefore is sailing without a trusted liability cover.","Ukraine (general)","EU","2025-07-19","","","EU.13361.32","UKR — 2025/1476 (OJ L202501476)"
"Serafim Vikentievitj IVANOV","Individual","","Ukraine (general)","EU","2023-12-18","1996-05-19","","EU.10906.12","UKR — 2023/2875 (OJ L18122023)"
"Sergei Evgenevich NARYSHKIN","Individual","Director of the Foreign Intelligence Service of the Russian Federation as of October 2016. \nPermanent member and Secretary of the Security Council of the Russian Federation.","Ukraine (general)","EU","2014-03-21","1954-10-27","","EU.3647.34","UKR — 2023/571 (OJ L75 I)"
"Sergei Vladimirovich ZHELEZNYAK","Individual","Former Deputy Speaker of the State Duma of the Russian Federation. Former Deputy Chairperson and former member of the State Duma Committee on International Affairs.\n\nFormer Member of the Presidium of the General Council of the United Russia party.","Ukraine (general)","EU","2014-03-17","1970-07-30","","EU.3645.7","UKR — 2023/571 (OJ L75 I)"
"Sergey Yurievich GLAZYEV","Individual","Since October 2019 Minister for Integration and Macroeconomics in the Eurasian Economic Commission,\nFormer adviser to the President of the Russian Federation on economic development","Ukraine (general)","EU","2014-03-21","1961-01-01","","EU.3516.4","UKR — 2025/527 (OJ L202500527)"
"Societatea  cu răspundere limitată  Intershipping Services","Entity","Intershipping Services LLC is an entity based in the UAE. It operates the Gabon international flag registry.","Ukraine (general)","EU","2025-07-18","","","EU.13404.30","UKR — 2025/1476 (OJ L202501476)"
"Societatea cu  răspundere limitată  «Volgotrans»","Entity","LLC Volgotrans is a Russian company operating a fleet of several tankers and carrying out transportation of crude oil and oil products by sea, including for export purposes","Ukraine (general)","EU","2025-07-18","","","EU.13400.34","UKR — 2025/1476 (OJ L202501476)"
"Societatea cu  răspundere limitată «Krafttek»","Entity","LLC “Krafttek” is a significant system integrator and software developer in Russia.","Ukraine (general)","EU","2025-07-18","","","EU.13403.31","UKR — 2025/1476 (OJ L202501476)"
"Societatea cu răspundere limitată «Novaport Holding»","Entity","","Ukraine (general)","EU","2024-06-24","","","EU.11823.29","UKR — 2024/1746 (OJ L24062024)"
"Societatea pe  acțiuni «Ploshchad»","Entity","JSC “Ploshchad” is a Russian company specialised in the development and implementation of robotic systems which provides comprehensive solutions for unmanned aerial vehicles (UAVs)","Ukraine (general)","EU","2025-07-18","","","EU.13402.32","UKR — 2025/1476 (OJ L202501476)"
"Societatea pe  acțiuni «Uzina mecanică Ijevsk»","Entity","JSC “Izhevsk Mechanical Plant” is one of the largest multi-profile manufacturers in Russia, and its primary products include combat weapons, components for missile systems, and high-precision castings.","Ukraine (general)","EU","2025-07-18","","","EU.13399.28","UKR — 2025/1476 (OJ L202501476)"
"Société par actions cotée “Usine de Motovilikhinsk”","Entity","","Ukraine (general)","EU","2022-12-16","","","EU.9385.43","UKR — 2023/1765 (OJ L226)"
"South Fleet","Entity","LLC Yuzhny Flot (South Fleet) is a company managed by SKF Arktika, a company belonging to the Sovcomflot group. LLC Yuzhny Flot carryies out transportation of crude oil and oil products by sea, including for export purposes, by managing numerous tankers involved in such export.","Ukraine (general)","EU","2025-02-24","","","EU.12731.76","UKR — 2025/389 (OJ L24022025)"
"Stanislav VOROBEV","Individual","head of the Russian Imperial Movement, a white supremacist paramilitary organization","Ukraine (general)","EU","2022-12-16","1960-06-02","","EU.9417.73","UKR — 2022/2476 (OJ L322-I)"
"Starfish Ship  Management Vámszabadterületi Kft","Entity","Twister Shipmanagement LLC-FZ is a Dubai-based company which manages oil tankers transporting crude oil or petroleum products, originating in Russia or exported from Russia.","Ukraine (general)","EU","2025-07-18","","","EU.13398.29","UKR — 2025/1476 (OJ L202501476)"
"Tarabya Logistics Ltd","Entity","Tarabya Logistics Ltd is a company based in the United Arab Emirates, which manages several ships that have engaged in irregular and high-risk shipping practices, such as sailing with Automatic Identification Systems gaps and high-risk ship-to-ship transfers, while transporting oil originating in Russia or exported from Russia.","Ukraine (general)","EU","2025-07-19","","","EU.13364.29","UKR — 2025/1476 (OJ L202501476)"
"Tesztkomplekt Kft.","Entity","","Ukraine (general)","EU","2024-02-23","","","EU.11391.60","UKR — 2024/753 (OJ L23022024)"
"Valentina Ivanova MATVIYENKO","Individual","Speaker of the Federation Council.","Ukraine (general)","EU","2014-03-21","1949-04-07","","EU.3517.66","UKR — 2023/571 (OJ L75 I)"
"Velikiy Slavyan","Individual","leader and commander of the Russian paramilitary group 'Task Force 'Rusich''","Ukraine (general)","EU","2022-12-16","1987-01-02","","EU.9419.71","UKR — 2024/849 (OJ L13032024)"
"Viktor Anatolyevich POLYAKOV","Individual","Managing Director of PJSC “UEC-Saturn”","Ukraine (general)","EU","2025-05-20","1953-04-26","","EU.13034.95","UKR — 2025/933 (OJ L202500933)"
"Vladimir Michailovich DZHABAROV","Individual","First Deputy-Chairman of the International Affairs Committee of the Federation Council of the Russian Federation","Ukraine (general)","EU","2014-03-17","1952-09-29","","EU.3506.3","UKR — 2023/571 (OJ L75 I)"
"Vladimir Zograbovich AVETISYAN","Individual","General Director and founder of LLC RBA-Management","Ukraine (general)","EU","2024-06-24","1955-05-04","","EU.11816.57","UKR — 2024/1746 (OJ L24062024)"
"Vladislav Yurievich SURKOV","Individual","Former Aide to the President of the Russian Federation and First Deputy Chief of the Presidential Administration.","Ukraine (general)","EU","2014-03-21","1964-09-21","","EU.3526.5","UKR — 2024/2455 (OJ L13092024)"
"Young Bok KIM","Individual","Deputy Chief of the General Staff of the Korean People’s Army","Ukraine (general)","EU","2024-12-16","","","EU.12579.23","UKR — 2024/3183 (OJ L16122024)"
"ZAO “MMZSO”","Entity","CJSC “Moscow Mechanical Plant of Special Equipment” is a Russian company that develops military equipment, including technical equipment for ships of the Russian fleet, supporting the country’s defence capabilities. The company is licenced by the Ministry of Industry and Trade of the Russian Federation to manufacture, sell, repair, maintain, install and test weapons and military equipment.","Ukraine (general)","EU","2025-07-19","","","EU.13325.55","UKR — 2025/1476 (OJ L202501476)"
"Zhu Jiang Shipmanagement Co., Ltd","Entity","Zhu Jiang Shipmanagement Co., Ltd is a company registered in Hong Kong and is the technical manager of crude oil tanker ARGENT (formerly JAGUAR, IMO: 9293002). ARGENT is not registered with the International Group of Protection and Indemnity Clubs and therefore is sailing without a trusted liability cover. It is also the only vessel managed by Zhu Jiang Shipmanagement Co., Ltd, which indicates that it operates under a non-transparent corporate governance policy","Ukraine (general)","EU","2025-07-19","","","EU.13362.31","UKR — 2025/1476 (OJ L202501476)"
"","Entity","","Ukraine (general)","EU","2024-12-16","","","EU.12575.27","UKR — 2024/3183 (OJ L16122024)"
"","Individual","","Ukraine (general)","EU","2024-12-16","1979-10-11","","EU.12587.91","UKR — 2024/3183 (OJ L16122024)"
"»Soedinitel« Rt.","Entity","","Ukraine (general)","EU","2025-05-20","","","EU.13014.60","UKR — 2025/933 (OJ L202500933)"
"Întreprinderea  unitară federală de stat «Uzina  Morozov»","Entity","FSUE “Morozov Plant” is a State enterprise involved in the production of ammunition and military equipment for the Russian Government.","Ukraine (general)","EU","2025-07-18","","","EU.13401.33","UKR — 2025/1476 (OJ L202501476)"
"Întreprinderea de cercetare și producție Radar MMS, societate pe acțiuni","Entity","","Ukraine (general)","EU","2024-02-23","","","EU.11374.22","UKR — 2024/753-corr 2024/90233 (OJ L12042024)"
"Ірина Анатоліївна АГЕЄВА","Individual","Commissioner for Children’s Rights in the Kaluga Region","Ukraine (general)","EU","2023-06-23","1976-12-29","","EU.10309.52","UKR — 2023/1216 (OJ L159 I)"
"Ірина Олександрівна ЧЕРКАСОВА","Individual","Commissioner for Children’s Rights in Rostov Region","Ukraine (general)","EU","2023-06-23","","","EU.10310.30","UKR — 2023/1216 (OJ L159 I)"
"АО 'НПО РУСБИТЕХ'","Entity","","Ukraine (general)","EU","2022-12-16","","","EU.9378.71","UKR — 2023/1765 (OJ L226)"
"АО 'УЛАН-УДЭНСКИЙ АВИАЦИОННЫЙ ЗАВОД'","Entity","","Ukraine (general)","EU","2022-12-16","","","EU.9382.46","UKR — 2024/2455 (OJ L13092024)"
"АО Группа Кремний Эл","Entity","JSC Gruppa Kremniy El is the second-largest microelectronics manufacturer in Russia, and, in particular, a manufacturer of microchips. The microchips produced by JSC Gruppa Kremniy El in its plant are used by the Russian military for several purposes, including in the Iskander ballistic missiles.","Ukraine (general)","EU","2024-12-16","","","EU.12598.59","UKR — 2024/3183 (OJ L16122024)"
"АО НПП Рубин","Entity","JSC “Scientific Production Enterprise ‘Rubin’” is a leading company of the Russian defence industry which manufactures mobile automated control and communication systems designed for military applications.","Ukraine (general)","EU","2025-07-19","","","EU.13327.53","UKR — 2025/1476 (OJ L202501476)"
"АО “АОМЗ”","Entity","JSC “Aleksinsky Experimental Mechanical Plant” produces weapons in Tula, Russia. It was added to the list of strategic organisations of the Russian Government in 2022. The plant is part of the Russian military and industrial complex and materially supports it, including by being involved in the development, production and supply of military technology and equipment.","Ukraine (general)","EU","2025-07-19","","","EU.13328.52","UKR — 2025/1476 (OJ L202501476)"
