Official ID,Name (Latin),Name (Cyrillic),Territory,Role / Position,Level,Location,Year Start,Year End,Still in Post?,Origin,Career Before,Career After,Links to Other Officials,Links to Russian State Bodies,Business / Economic Connections,Military Connections,Notes on Role
OFC-1007,Kryukova Elena Nikolaevna,Крюкова Елена Николаевна,DPR,Deputy Head of Amvrosiyivka Municipal District Administration,District,Amvrosiyivka,2022 (at least),,Yes,Local DPR district official,,,,DPR occupation administration; Amvrosiyivka municipal administration.,,,
OFC-1008,Fisenko Elena Nikolaevna,Фисенко Елена Николаевна,DPR,"Managing Affairs, Amvrosiyivka Municipal District Administration",District,Amvrosiyivka,2022 (at least),,Yes,Local DPR district official,,,,DPR occupation administration; Amvrosiyivka municipal administration.,,,
OFC-1009,Zinchenko Konstantin Aleksandrovich,Зинченко Константин Александрович,DPR,"Head of Volnovakha Municipal District Administration, DPR",City,Volnovakha,2022,,Yes,Local DPR district official,,,,DPR occupation administration; Volnovakha municipal administration.,,,Head of Volnovakha municipal district — strategically significant as a key logistics junction in southern DPR.
OFC-1010,Snisarenko Elena Sergeevna,Снисаренко Елена Сергеевна,DPR,Deputy Head of Volnovakha Municipal District Administration,District,Volnovakha,2022,,Yes,Local DPR district official,,,,DPR occupation administration; Volnovakha municipal administration.,,,
OFC-1011,Vasileva Mariya Aleksandrovna,Васильева Мария Александровна,DPR,"Managing Affairs, Volnovakha Municipal District Administration",District,Volnovakha,2023 (at least),,Yes,Local DPR district official,,,,DPR occupation administration; Volnovakha municipal administration.,,,
OFC-1012,Kachanov Aleksandr Yurevich,Качанов Александр Юрьевич,DPR,"Head of Dokuchaievsk City Administration, DPR",City,Dokuchaievsk,2015,,Yes,Local DPR city official,,,,DPR occupation administration; Dokuchaievsk municipal administration.,,,"Head of Dokuchaievsk city administration. Address: Dokuchaievsk, Zakharchenko St 22. City was formerly known for limestone quarrying."
OFC-1013,Dolbachev Ruslan Viktorovich,Долбачев Руслан Викторович,DPR,First Deputy Head of Dokuchaievsk City Administration,District,Dokuchaievsk,2017 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Dokuchaievsk municipal administration.,,,
OFC-1014,Khizhnyak Yuliya Genadievna,Хижняк Юлия Генадиевна,DPR,Deputy Head of Dokuchaievsk City Administration,District,Dokuchaievsk,2017 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Dokuchaievsk municipal administration.,,,
OFC-1015,Popov Igor Evgenevich,Попов Игорь Евгеньевич,DPR,Deputy Head of Dokuchaievsk City Administration,District,Dokuchaievsk,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Dokuchaievsk municipal administration.,,,
OFC-1016,Bozhik Sergey Aleksandrovich,Божик Сергей Александрович,DPR,"Deputy Head of Yenakiieve City Administration, DPR",District,Yenakiieve,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yenakiieve municipal administration.,,,Deputy head of Yenakiieve. Head of administration not listed in available source.
OFC-1017,Vitruk Elena Sergeevna,Витрук Елена Сергеевна,DPR,"Deputy Head of Yenakiieve City Administration, DPR",District,Yenakiieve,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yenakiieve municipal administration.,,,
OFC-1018,Demenkov Aleksandr Aleksandrovich,Деменков Александр Александрович,DPR,"Deputy Head of Yenakiieve City Administration, DPR",District,Yenakiieve,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yenakiieve municipal administration.,,,
OFC-1019,Vitruk Igor Vasilevich,Витрук Игорь Васильевич,DPR,"Deputy Head of Yenakiieve City Administration, DPR",District,Yenakiieve,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yenakiieve municipal administration.,,,
OFC-1020,Stasenko Lyudmila Pavlovna,Стасенко Людмила Павловна,DPR,"Managing Affairs, Yenakiieve City Administration, DPR",District,Yenakiieve,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yenakiieve municipal administration.,,,
OFC-1021,Ponomarev Oleg Vasilevich,Пономарев Олег Васильевич,DPR,"Acting Head of Krasnolymansk Municipal District, DPR",City,Krasny Liman,2025,,Yes,Local DPR city official,,,,DPR occupation administration; Krasny Liman municipal administration.,,,"Acting head of Krasnolymansk (formerly Krasny Liman) — recaptured by Russian forces 2022. Address: Krasny Liman, Frunze St 46."
OFC-1022,Zabolotskaya Anzhela Vladimirovna,Заболотская Анжела Владимировна,DPR,"Chairman of Krasnolymansk Municipal Council (1st Convocation), DPR",City,Krasny Liman,2023,,Yes,Local DPR city official,,,,DPR occupation administration; Krasny Liman municipal administration.,,,
OFC-1023,Ovcharov Vasiliy Anatolevich,Овчаров Василий Анатольевич,DPR,"Head of Novoazovsk Municipal District Administration, DPR",City,Novoazovsk,2023,,Yes,Local DPR city official,,,,DPR occupation administration; Novoazovsk municipal administration.,,,Head of Novoazovsk municipal district — Azov coastal district bordering Russia. Important logistics corridor.
OFC-1024,Logvinov Oleg Nikolaevich,Логвинов Олег Николаевич,DPR,First Deputy Head of Novoazovsk Municipal District Administration,District,Novoazovsk,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Novoazovsk municipal administration.,,,
OFC-1025,Kharkov Sergey Aleksandrovich,Харьков Сергей Александрович,DPR,Deputy Head of Novoazovsk Municipal District Administration,District,Novoazovsk,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Novoazovsk municipal administration.,,,
OFC-1026,Sotnikova Natalya Anatolevna,Сотникова Наталья Анатольевна,DPR,"Managing Affairs (Chief of Staff), Mariupol City Administration",City,Mariupol,2022,,Yes,Local DPR city official,,,,DPR occupation administration; Mariupol municipal administration.,,,Administrative chief of staff for Mariupol occupation administration. Former OPZZH (ОПЗЖ) city council deputy.
OFC-1027,Ermakov Sergey Vladimirovich,Ермаков Сергей Владимирович,DPR,"Head of Snizhne City Administration, DPR",City,Snizhne,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Snizhne municipal administration.,,,Head of Snizhne (Snezhnoye) city administration — coal-mining city in eastern DPR.
OFC-1028,Shergelashvili Vasil Papulich,Шергелашвили Васил Папулич,DPR,First Deputy Head of Snizhne City Administration,District,Snizhne,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Snizhne municipal administration.,,,First deputy of Snizhne. Georgian-origin surname notable in Donbas demographic context.
OFC-1029,Bondarenko Elena Vitalevna,Бондаренко Елена Витальевна,DPR,"Managing Affairs, Snizhne City Administration",District,Snizhne,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Snizhne municipal administration.,,,
OFC-1030,Cherkashin Aleksey Romanovich,Черкашин Алексей Романович,DPR,"Acting Head of Starobesheve Municipal District, DPR",City,Starobesheve,2026,,Yes,Local DPR city official,,,,DPR occupation administration; Starobesheve municipal administration.,,,"Acting head of Starobesheve municipal district. Address: Starobesheve, Sovetska St 43."
OFC-1031,Retivov Aleksandr Borisovich,Ретивов Александр Борисович,DPR,First Deputy Head of Starobesheve Municipal District Administration,District,Starobesheve,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Starobesheve municipal administration.,,,
OFC-1032,Olmezov Mikhail Svetoslavovich,Ольмезов Михаил Светославович,DPR,Deputy Head of Starobesheve Municipal District Administration,District,Starobesheve,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Starobesheve municipal administration.,,,
OFC-1033,Biatova Evgeniya Mikhaylovna,Биатова Евгения Михайловна,DPR,"Managing Affairs, Starobesheve Municipal District Administration",District,Starobesheve,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Starobesheve municipal administration.,,,
OFC-1034,Velikodnaya Natalya Anatolevna,Великодная Наталья Анатольевна,DPR,"Head of Telmanove Municipal District Administration, DPR",City,Telmanove,2022,,Yes,Local DPR city official,,,,DPR occupation administration; Telmanove municipal administration.,,,"Head of Telmanove (Telmanova) municipal district — southern DPR, near Azov coast."
OFC-1035,Katrysh Liana Valerevna,Катрыш Лиана Валерьевна,DPR,First Deputy Head of Telmanove Municipal District Administration,District,Telmanove,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Telmanove municipal administration.,,,
OFC-1036,Reyberg Sergey Andreevich,Рейберг Сергей Андреевич,DPR,Deputy Head of Telmanove Municipal District Administration,District,Telmanove,2025 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Telmanove municipal administration.,,,
OFC-1037,Arabadzhi Olga Aleksandrovna,Арабаджи Ольга Александровна,DPR,Deputy Head of Telmanove Municipal District Administration,District,Telmanove,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Telmanove municipal administration.,,,
OFC-1038,Krivaya Natalya Alekseevna,Кривая Наталья Алексеевна,DPR,"Managing Affairs, Telmanove Municipal District Administration",District,Telmanove,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Telmanove municipal administration.,,,
OFC-1039,Lysenko Dmitriy Sergeevich,Лысенко Дмитрий Сергеевич,DPR,"Head of Torez City Administration, DPR",City,Torez,2019,2025,No,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,"Head of Torez city administration — coal city in eastern DPR, formerly known for mining."
OFC-1040,Makarova Anna Efimovna,Макарова Анна Ефимовна,DPR,First Deputy Head of Torez City Administration,District,Torez,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,
OFC-1041,Dedukh Olga Petrovna,Дедух Ольга Петровна,DPR,Deputy Head of Torez City Administration,District,Torez,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,
OFC-1042,Stavitskiy Aleksandr Mikhaylovich,Ставицкий Александр Михайлович,DPR,Deputy Head of Torez City Administration,District,Torez,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,
OFC-1043,Chesnokov Artem Valerievich,Чесноков Артем Валериевич,DPR,"Head of Torez City Administration, DPR",District,Torez,2025,,Yes,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,
OFC-1044,Beketova Natalya Nikolaevna,Бекетова Наталья Николаевна,DPR,"Managing Affairs, Torez City Administration",District,Torez,2023 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Torez municipal administration.,,,
OFC-1045,Poplavskiy Evgeniy Valentinovich,Поплавский Евгений Валентинович,DPR,"Acting Head of Khartsyzsk City Administration, DPR",City,Khartsyzsk,2025,,Yes,Local DPR city official,,,,DPR occupation administration; Khartsyzsk municipal administration.,,,"Acting head of Khartsyzsk city administration — industrial city, pipe manufacturing heritage."
OFC-1046,Podustov Oleg Sergeevich,Подустов Олег Сергеевич,DPR,First Deputy Head of Khartsyzsk City Administration (Housing/Communal Services),District,Khartsyzsk,2020,,Yes,Local DPR city official,,,,DPR occupation administration; Khartsyzsk municipal administration.,,,"First deputy of Khartsyzsk, portfolio covering ZhKH (ЖКХ)."
OFC-1047,Mikhalenko Yuliya Aleksandrovna,Михаленко Юлия Александровна,DPR,Deputy Head of Khartsyzsk City Administration,District,Khartsyzsk,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Khartsyzsk municipal administration.,,,
OFC-1048,Rogozhina Viktoriya Sergeevna,Рогожина Виктория Сергеевна,DPR,"Managing Affairs, Khartsyzsk City Administration",District,Khartsyzsk,2021 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Khartsyzsk municipal administration.,,,
OFC-1049,Rachek Yuliya Mikhaylovna,Рачек Юлия Михайловна,DPR,First Deputy Head of Yasinovatka Municipal District Administration,District,Yasinovatka,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yasinovatka municipal administration.,,,"First deputy of Yasinovatka. Head of administration not confirmed in source. Note: a Yasinovatka district head was previously reported facing corruption charges (bribery, road contracts) per September 2025 Donetsk report."
OFC-1050,Penyaev Aleksandr Mikhaylovich,Пеняев Александр Михайлович,DPR,Deputy Head of Yasinovatka Municipal District Administration,District,Yasinovatka,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yasinovatka municipal administration.,,,
OFC-1051,Lisovenko Karolina Yurevna,Лисовенко Каролина Юрьевна,DPR,Deputy Head of Yasinovatka Municipal District Administration,District,Yasinovatka,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yasinovatka municipal administration.,,,
OFC-1052,Bogdanova Irina Sergeevna,Богданова Ирина Сергеевна,DPR,Deputy Head of Yasinovatka Municipal District Administration,District,Yasinovatka,2022 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yasinovatka municipal administration.,,,
OFC-1053,Polyanskaya Anna Vladimirovna,Полянская Анна Владимировна,DPR,"Managing Affairs, Yasinovatka Municipal District Administration",District,Yasinovatka,2024 (at least),,Yes,Local DPR city official,,,,DPR occupation administration; Yasinovatka municipal administration.,,,
OFC-1054,Epifanov Vladimir Anatolevich,Епифанов Владимир Анатольевич,Zaporizhzhia Oblast,"Deputy of 1st Convocation, Zaporizhzhia Oblast Legislative Assembly",Regional,Melitopol,2023,,Yes,Zaporizhzhia Oblast-based local politician,,,,Zaporizhzhia Oblast occupation administration; Melitopol municipal administration.,,,Deputy of the 1st convocation of the Zaporizhzhia Oblast occupation Legislative Assembly. The assembly was established after the 2022 occupation and formalised in 2023.
OFC-1055,Khomenko Ruslan Anatolevich,Хоменко Руслан Анатольевич,Kherson Oblast,"Head of Aleshky Municipal District, Kherson Oblast (occupation)",District,Aleshky,2024,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Aleshky municipal administration.,,,Head of Aleshky (Олешки/Цюрупинськ) municipal district — located directly across the Dnipro river from Ukrainian-controlled Kherson city. Strategically significant as the main occupation administrative centre in the area facing the Ukrainian-held bank.
OFC-1056,Baranovskaya Olga Nikolaevna,Барановская Ольга Николаевна,Kherson Oblast,"Head of Velyka Lepetykha Municipal District, Kherson Oblast (occupation)",District,Velyka Lepetykha,2023,,Yes,Kherson Oblast-based local official,,,Vladimir Saldo.,Kherson Oblast occupation administration; Velyka Lepetykha municipal administration.,,,Head of Velyka Lepetykha municipal district in northern occupied Kherson Oblast. She received a verbal instruction from Governor Saldo to arrange for the replacement of Ukrainian-language street signs with Russian-language ones and for the replacement of satellite dishes with Russian-made ones.
OFC-1057,Vasyutinskiy Vitaliy Pavlovich,Васютинский Виталий Павлович,Kherson Oblast,"Head of Verkhniy Rohachyk Municipal District, Kherson Oblast (occupation)",District,Verkhniy Rohachyk,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Verkhniy Rohachyk municipal administration.,,,Head of Verkhniy Rohachyk municipal district in northern occupied Kherson Oblast.
OFC-1058,Semyakina Yulіya Vіktorіvna,Семякина Юлія Вікторівна,Kherson Oblast,"Head of Henichesk Municipal District, Kherson Oblast (occupation)",District,Henichesk,2025,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Henichesk municipal administration.,,,Head of Henichesk municipal district — Henichesk is the de facto administrative capital of occupied Kherson Oblast and the seat of Saldo's government.
OFC-1059,Titarenko Vitaliy Valerevich,Титаренко Виталий Валерьевич,Kherson Oblast,"Head of Holoprystansky Municipal District, Kherson Oblast (occupation)",District,Hola Prystan,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Hola Prystan municipal administration.,,,"Head of Holoprystansky municipal district — on the western bank of the Dnipro estuary, Azov coast."
OFC-1060,Turulev Yuriy Valerevich,Турулев Юрий Валерьевич,Kherson Oblast,"Head of Hornostaivka Municipal District, Kherson Oblast (occupation)",District,Hornostaivka,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Hornostaivka municipal administration.,,,Head of Hornostaivka municipal district — northern Kherson Oblast near the front line.
OFC-1061,Malyonkin Aleksey Petrovich,Малёнкин Алексей Петрович,Kherson Oblast,"Head of Ivanivka Municipal District, Kherson Oblast (occupation)",District,Ivanivka,2024,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Ivanivka municipal administration.,,,Head of Ivanivka municipal district in northern occupied Kherson Oblast.
OFC-1062,Perelovich Galina Yanoshevna,Перелович Галина Яношевна,Kherson Oblast,"Acting Head of Kalanchak Municipal District, Kherson Oblast (occupation)",District,Kalanchak,2025,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Kalanchak municipal administration.,,,Acting head of Kalanchak municipal district — Kalanchak is one of the five districts with a functioning MFC (multi-function centre) for Russian document issuance per October 2025 Kherson report.
OFC-1063,Nikitenko Vladislav Viktorovich,Никитенко Владислав Викторович,Kherson Oblast,"Head of Nyzhni Sirohozy Municipal District, Kherson Oblast (occupation)",District,Nyzhni Sirohozy,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Nyzhni Sirohozy municipal administration.,,,
OFC-1064,Oganesov Vladimir Shagenovich,Оганесов Владимир Шагенович,Kherson Oblast,"Acting Head of Nova Kakhovka City District, Kherson Oblast (occupation)",City,Nova Kakhovka,2025,,Yes,"Kherson Oblast-based local official, born in Russia",,,,Kherson Oblast occupation administration; Nova Kakhovka municipal administration.,,,Acting head of Nova Kakhovka city district — replacing Izyumenko Halyna (OFC-441) who replaced the killed Leontyev (OFC-440). Armenian-origin surname. Nova Kakhovka is strategically significant as the site of the destroyed Kakhovka dam (June 2023) and a key Dnipro crossing point.
OFC-1065,Kuzmenko Evgeniya Nikolaevna,Кузьменко Евгения Николаевна,Kherson Oblast,"Head of Novotroitske Municipal District, Kherson Oblast (occupation)",District,Novotroitske,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Novotroitske municipal administration.,,,Head of Novotroitske municipal district — one of the five districts with a functioning MFC for Russian document issuance per October 2025 Kherson report.
OFC-1066,Dudka Aleksandr Petrovich,Дудка Александр Петрович,Kherson Oblast,"Head of Skadovsk Municipal District, Kherson Oblast (occupation)",District,Skadovsk,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Skadovsk municipal administration.,,,Head of Skadovsk municipal district — Skadovsk is a significant Azov/Black Sea coastal town with one of the five functioning MFCs for Russian document issuance. Also mentioned in multiple Kherson monthly reports as a site for medical outreach and cultural events.
OFC-1067,Pulyaeva Liliya Anatolevna,Пуляева Лилия Анатольевна,Kherson Oblast,"Head of Chaplynka Municipal District, Kherson Oblast (occupation)",District,Chaplynka,2023,,Yes,Kherson Oblast-based local official,,,,Kherson Oblast occupation administration; Chaplynka municipal administration.,,,Head of Chaplynka municipal district — one of the five districts with a functioning MFC per October 2025 Kherson report.
OFC-1068,Svechnikov Aleksandr Valerevich,Свечников Александр Валерьевич,Kherson Oblast,"Acting First Deputy Minister of Property and Land Relations, Kherson Oblast",Sector,Henichesk,2024 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Property and Land Relations.,,,Acting first deputy minister for property and land relations — directly relevant to Legal Architecture dimension. Oversees seizure and redistribution of Ukrainian property assets.
OFC-1069,Davidova Mariya Vyacheslavovna,Давидова Мария Вячеславовна,Kherson Oblast,"Acting Deputy Minister of Property and Land Relations, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Property and Land Relations.,,,
OFC-1070,Andreeva Angelina Davidovna,Андреева Ангелина Давидовна,Kherson Oblast,"Acting Deputy Minister of Property and Land Relations, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Property and Land Relations.,,,
OFC-1071,Malaya Lyudmila Aleksandrovna,Малая Людмила Александровна,Kherson Oblast,Head (Managing Director) of Social Fund of Russia — Kherson Oblast Branch,Sector,Henichesk,2023,,Yes,From Russia,,,,Kherson Oblast occupation administration; Social Fund of Russia (Kherson).,,,"Manages Russian pension and social payment system in occupied Kherson Oblast. Key figure in economic integration — over 67,000 residents receive Russian pensions (per August 2025 Kherson report)."
OFC-1072,Karaulova Yuliya Pavlovna,Караулова Юлия Павловна,Kherson Oblast,"Deputy Head, Social Fund of Russia — Kherson Oblast Branch",Sector,Henichesk,2022,,Yes,From Russia,,"While she is mentioned on the website of SFR, accoridng to audit-it.ru her term ended in 2023.",,Kherson Oblast occupation administration; Social Fund of Russia (Kherson).,,,
OFC-1073,Kuguk Viktoriya Anatolevna,Кугук Виктория Анатольевна,Kherson Oblast,"Deputy Head, Social Fund of Russia — Kherson Oblast Branch",Sector,Henichesk,2022,,Yes,From Russia,,,,Kherson Oblast occupation administration; Social Fund of Russia (Kherson).,,,
OFC-1074,Akifeva Elena Evgenevna,Акифьева Елена Евгеньевна,Kherson Oblast,"Deputy Head, Social Fund of Russia — Kherson Oblast Branch",Sector,Henichesk,2023 (at least),,Yes,From Russia,,,,Kherson Oblast occupation administration; Social Fund of Russia (Kherson).,,,
OFC-1075,Mordachyova Irina Sergeevna,Мордачёва Ирина Сергеевна,Kherson Oblast,"Head of Employment Service, Kherson Oblast",Sector,Henichesk,2024,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Employment Service.,,,Heads the occupation employment service — manages labour market integration into Russian employment system including forced registration requirements.
OFC-1076,Kalyonov Georgiy Dmitrievich,Калёнов Георгий Дмитриевич,Kherson Oblast,"First Deputy Minister of Industry and Trade, Kherson Oblast",Sector,Henichesk,2023 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Industry and Trade.,,,First deputy to Kiriyenko Georgy (OFC-354).
OFC-1077,Krasulya Svetlana Valerevna,Красуля Светлана Валерьевна,Kherson Oblast,"Deputy Minister of Industry and Trade, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Industry and Trade.,,,
OFC-1078,Saenko Marina Vladimirovna,Саенко Марина Владимировна,Kherson Oblast,"Acting Deputy Minister of Industry and Trade, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Industry and Trade.,,,
OFC-1079,Larionov Vladimir Yurevich,Ларионов Владимир Юрьевич,Kherson Oblast,"Acting First Deputy Minister of Health, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Health.,,,
OFC-1080,Demedyuk Olga Ivanovna,Демедюк Ольга Ивановна,Kherson Oblast,"Acting Deputy Minister of Health, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Health.,,,
OFC-1081,Kolmykov Maksim Evgenevich,Колмыков Максим Евгеньевич,Kherson Oblast,"First Deputy Minister of Economic Development, Kherson Oblast",Sector,Henichesk,,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Economic Development.,,,
OFC-1082,Belik Sergey Yakovlevich,Белик Сергей Яковлевич,Kherson Oblast,"Acting Deputy Minister of Economic Development, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Economic Development.,,,
OFC-1083,Korostelenko Maksim Sergeevich,Коростеленко Максим Сергеевич,Kherson Oblast,"First Deputy Minister of Youth Policy, Kherson Oblast",Sector,Henichesk,2023 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Youth Policy.,,,First deputy to Yarchenko Vladislav.
OFC-1084,Krupnaya Darya Anatolevna,Крупная Дарья Анатольевна,Kherson Oblast,"Deputy Minister of Youth Policy, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Youth Policy.,,,
OFC-1085,Podsadnyy Aleksandr Sergeevich,Подсадный Александр Сергеевич,Kherson Oblast,"Head of Mass Sport and Infrastructure Development Department, Ministry of Sport, Kherson Oblast",Sector,Henichesk,,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Sport.,,,
OFC-1086,Bodnya Karina Alekseevna,Бодня Карина Алексеевна,Kherson Oblast,"Head of Elite Sport Department, Ministry of Sport, Kherson Oblast",Sector,Henichesk,2026 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Sport.,,,
OFC-1087,Grigorev Roman Nikolaevich,Григорьев Роман Николаевич,Kherson Oblast,"First Deputy Minister of Digital Development and Mass Communications, Kherson Oblast",Sector,Henichesk,2023 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Digital Development.,,,"Announced in October 2025 that 20,000 ""Russian World"" satellite TV kits had been installed in occupied Kherson Oblast — key Digital Enclosure figure."
OFC-1088,Glukhova Elena Mikhaylovna,Глухова Елена Михайловна,Kherson Oblast,"Deputy Minister of Digital Development and Mass Communications, Kherson Oblast",Sector,Henichesk,,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Digital Development.,,,
OFC-1089,Kalnaus Oleg Robertovich,Калнаус Олег Робертович,Kherson Oblast,"Acting Head of Veterinary Administration, Kherson Oblast",Sector,Henichesk,2023,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Veterinary Administration.,,,
OFC-1090,Musienko Viktor Ivanovich,Мусиенко Виктор Иванович,Kherson Oblast,"Deputy Head of Veterinary Administration, Kherson Oblast",Sector,Henichesk,,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Veterinary Administration.,,,
OFC-1091,Kalashnikova Oksana Aleksandrovna,Калашникова Оксана Александровна,Kherson Oblast,"Head of Internal Policy Administration, Kherson Oblast",Regional,Henichesk,2023,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Internal Policy Administration.,,,Heads the internal politics administration — directly responsible for political integration and loyalty management in occupied Kherson Oblast. Oversees United Russia party infrastructure and public chamber activities.
OFC-1092,Bulyuk Igor Vitalevich,Булюк Игорь Витальевич,Kherson Oblast,"First Deputy Head of Internal Policy Administration, Kherson Oblast",Sector,Henichesk,2024 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Internal Policy Administration.,,,Official in Kherson Oblast Internal Policy Administration — manages political integration and loyalty structures.
OFC-1093,Gavrishchuk Svetlana Aleksandrovna,Гаврищук Светлана Александровна,Kherson Oblast,"Deputy Head of Internal Policy Administration, Kherson Oblast",Sector,Henichesk,2025 (at least),,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Internal Policy Administration.,,,Official in Kherson Oblast Internal Policy Administration — manages political integration and loyalty structures.
OFC-1094,Goltsov Dmitriy Evgenevich,Гольцов Дмитрий Евгеньевич,Kherson Oblast,"Deputy Head of Internal Policy Administration, Kherson Oblast",Sector,Henichesk,2022,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Internal Policy Administration.,,,Official in Kherson Oblast Internal Policy Administration — manages political integration and loyalty structures. Started as Deputy Head of the Police Department for the Korabelny District of Kherson.
OFC-1095,Nemtinov Evgeniy Viktorovich,Немтинов Евгений Викторович,Kherson Oblast,"Acting Deputy Minister of Finance, Kherson Oblast",Sector,Henichesk,2022,,Yes,Kherson Oblast occupation official,,,,Kherson Oblast occupation administration; Ministry of Finance.,,,
OFC-1096,Aleynova Anna Igorevna,Алейнова Анна Игоревна,Zaporizhzhia Oblast,Deputy of Zaporizhzhia Oblast Legislative Assembly,Regional,Melitopol,2023,,Yes,Zaporizhzhia Oblast-based local politician,,,,"Zaporizhzhia Oblast Legislative Assembly (1st convocation, September 2023); United Russia.",,,"Deputy of the Zaporizhzhia Oblast occupation Legislative Assembly, United Russia faction — elected to Russian-controlled occupation legislature (1st convocation, September 2023)."
